City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2021-06-06 18:37:00,-23.1203,-134.9692,76.71,84,100,15.05,overcast clouds
1,Manaure,CO,2021-06-06 18:39:07,11.7751,-72.4445,86.65,60,100,19.26,overcast clouds
2,Mataura,NZ,2021-06-06 18:39:17,-46.1927,168.8643,43.68,87,90,2.26,overcast clouds
3,Avarua,CK,2021-06-06 18:39:18,-21.2078,-159.775,71.65,68,75,4.61,broken clouds
4,Qaanaaq,GL,2021-06-06 18:39:19,77.484,-69.3632,40.24,85,51,5.41,broken clouds
5,Karoi,ZW,2021-06-06 18:39:21,-16.8099,29.6925,52.3,61,100,5.88,overcast clouds
6,Kapaa,US,2021-06-06 18:30:38,22.0752,-159.319,80.58,76,75,4.0,light rain
7,Butaritari,KI,2021-06-06 18:34:52,3.0707,172.7902,81.81,73,25,4.97,light rain
8,Puerto Ayora,EC,2021-06-06 18:35:00,-0.7393,-90.3518,82.36,88,35,5.01,scattered clouds
9,Yacuiba,BO,2021-06-06 18:39:26,-22.038,-63.6797,64.62,77,99,4.56,overcast clouds
10,Ushuaia,AR,2021-06-06 18:39:28,-54.8,-68.3,38.86,81,90,0.0,light rain
11,Vaini,TO,2021-06-06 18:39:29,-21.2,-175.2,71.76,88,40,6.91,scattered clouds
12,Busselton,AU,2021-06-06 18:35:01,-33.65,115.3333,50.09,74,0,7.99,clear sky
13,Chokurdakh,RU,2021-06-06 18:36:51,70.6333,147.9167,36.19,80,100,7.74,overcast clouds
14,Kiunga,PG,2021-06-06 18:39:33,-6.1219,141.2906,73.17,100,98,0.83,overcast clouds
15,Fortuna,US,2021-06-06 18:39:34,40.5982,-124.1573,67.42,62,40,5.99,scattered clouds
16,Victoria,HK,2021-06-06 18:35:17,22.2855,114.1577,82.45,88,44,5.99,scattered clouds
17,Hilo,US,2021-06-06 18:35:38,19.7297,-155.09,79.29,72,1,4.61,light rain
